date,open,high,low,close,zchange,zturnover,zPE,zPB,zPS,zPC
2007/11/5,36.2545,36.2694,31.1072,32.7931,--,51.5833,59.0594,14.8589,11.6776,-248.7356
2007/11/6,30.8834,31.6294,29.6899,29.8316,-9.0309,11.4326,53.7258,13.517,10.623,-226.2725
2007/11/7,29.6153,30.3836,28.556,30.1598,1.1003,7.2206,54.3169,13.6657,10.7399,-228.7621
2007/11/8,29.2423,29.6526,28.3471,28.4889,-5.5404,4.6684,51.3075,12.9086,10.1448,-216.0876
2007/11/9,28.2352,28.6381,27.3475,28.4814,-0.0262,4.7742,51.2941,12.9052,10.1422,-216.0311
2007/11/12,27.5937,28.1606,26.8552,27.1909,-4.5312,3.5424,48.9699,12.3204,9.6826,-206.2423
2007/11/13,27.6384,28.3024,27.2282,27.6235,1.5912,3.6847,49.7491,12.5165,9.8367,-209.5241
2007/11/14,28.1457,29.5034,27.6011,29.0036,4.9959,3.9045,52.2345,13.1418,10.3281,-219.9918
2007/11/15,28.5709,28.7201,28.1979,28.28,-2.4949,2.6075,50.9313,12.8139,10.0705,-214.5033
2007/11/16,27.9368,29.1304,27.6235,28.9588,2.4004,3.3473,52.1539,13.1215,10.3122,-219.6523
2007/11/19,28.8991,28.8991,28.101,28.3993,-1.932,2.4306,51.1463,12.868,10.113,-215.4087
2007/11/20,28.0487,28.3247,27.4967,27.9294,-1.6548,2.4743,50.2999,12.6551,9.9456,-211.844
2007/11/21,27.9741,28.2427,27.3774,27.4669,-1.656,2.4632,49.4669,12.4455,9.7809,-208.3359
2007/11/22,26.8552,27.1312,26.1092,26.1913,-4.6442,3.1232,47.1696,11.8675,9.3267,-198.6603
2007/11/23,26.0271,26.1913,25.1767,25.8033,-1.4811,2.4042,46.471,11.6917,9.1885,-195.718
2007/11/26,26.1092,26.2435,25.1394,25.1842,-2.3995,2.6393,45.3559,11.4112,8.968,-191.0217
2007/11/27,24.9828,24.9828,24.2592,24.2815,-3.5841,2.974,43.7303,11.0022,8.6466,-184.1753
