date,open,high,low,close,zchange,zturnover,zPE,zPB,zPS,zPC
2002/1/4,--,--,--,1316.455,--,0,0,0,0,0
2002/1/7,--,--,--,1302.084,-1.0916,0,0,0,0,0
2002/1/8,--,--,--,1292.714,-0.7196,0,0,0,0,0
2002/1/9,--,--,--,1272.645,-1.5525,0,0,0,0,0
2002/1/10,--,--,--,1281.261,0.677,0,0,0,0,0
2002/1/11,--,--,--,1249.814,-2.4544,0,0,0,0,0
2002/1/14,--,--,--,1205.146,-3.574,0,0,0,0,0
2002/1/15,--,--,--,1186.433,-1.5528,0,0,0,0,0
2002/1/16,--,--,--,1201.877,1.3017,0,0,0,0,0
2002/1/17,--,--,--,1152.148,-4.1376,0,0,0,0,0
2002/1/18,--,--,--,1149.483,-0.2313,0,0,0,0,0
2002/1/21,--,--,--,1108.61,-3.5558,0,0,0,0,0
2002/1/22,--,--,--,1109.994,0.1248,0,0,0,0,0
2002/1/23,--,--,--,1183.154,6.591,0,0,0,0,0
2002/1/24,--,--,--,1189.583,0.5434,0,0,0,0,0
2002/1/25,--,--,--,1189.428,-0.013,0,0,0,0,0
2002/1/28,--,--,--,1112.835,-6.4395,0,0,0,0,0
2002/1/29,--,--,--,1140.377,2.4749,0,0,0,0,0
2002/1/30,--,--,--,1145.855,0.4804,0,0,0,0,0
2002/1/31,--,--,--,1221.76,6.6243,0,0,0,0,0
2002/2/1,--,--,--,1215.743,-0.4925,0,0,0,0,0
2002/2/4,--,--,--,1236.969,1.7459,0,0,0,0,0
2002/2/5,--,--,--,1246.842,0.7982,0,0,0,0,0
2002/2/6,--,--,--,1216.788,-2.4104,0,0,0,0,0
2002/2/7,--,--,--,1241.023,1.9917,0,0,0,0,0
2002/2/8,--,--,--,1235.092,-0.4779,0,0,0,0,0
2002/2/25,--,--,--,1254.611,1.5804,0,0,0,0,0
2002/2/26,--,--,--,1253.121,-0.1188,0,0,0,0,0
2002/2/27,--,--,--,1255.997,0.2295,0,0,0,0,0
2002/2/28,--,--,--,1244.603,-0.9072,0,0,0,0,0
2002/3/1,--,--,--,1227.229,-1.3959,0,0,0,0,0
2002/3/4,--,--,--,1245.867,1.5187,0,0,0,0,0
2002/3/5,--,--,--,1275.614,2.3877,0,0,0,0,0
2002/3/6,--,--,--,1288.444,1.0058,0,0,0,0,0
2002/3/7,--,--,--,1328.388,3.1002,0,0,0,0,0
2002/3/8,--,--,--,1351.854,1.7665,0,0,0,0,0
2002/3/11,--,--,--,1377.037,1.8628,0,0,0,0,0
2002/3/12,--,--,--,1362.404,-1.0626,0,0,0,0,0
2002/3/13,--,--,--,1343.138,-1.4141,0,0,0,0,0
2002/3/14,--,--,--,1376.329,2.4712,0,0,0,0,0
2002/3/15,--,--,--,1338.702,-2.7339,0,0,0,0,0
2002/3/18,--,--,--,1341.907,0.2394,0,0,0,0,0
2002/3/19,--,--,--,1368.378,1.9726,0,0,0,0,0
2002/3/20,--,--,--,1382.417,1.026,0,0,0,0,0
2002/3/21,--,--,--,1385.79,0.244,0,0,0,0,0
2002/3/22,--,--,--,1369.901,-1.1466,0,0,0,0,0
2002/3/25,--,--,--,1373.012,0.2271,0,0,0,0,0
2002/3/26,--,--,--,1350.009,-1.6754,0,0,0,0,0
2002/3/27,--,--,--,1354.098,0.3029,0,0,0,0,0
2002/3/28,--,--,--,1352.533,-0.1156,0,0,0,0,0
2002/3/29,--,--,--,1313.466,-2.8884,0,0,0,0,0
2002/4/1,--,--,--,1317.579,0.3131,0,0,0,0,0
2002/4/2,--,--,--,1296.574,-1.5942,0,0,0,0,0
2002/4/3,--,--,--,1302.248,0.4376,0,0,0,0,0
2002/4/4,--,--,--,1337.728,2.7245,0,0,0,0,0
2002/4/5,--,--,--,1332.201,-0.4132,0,0,0,0,0
2002/4/8,--,--,--,1333.705,0.1129,0,0,0,0,0
2002/4/9,--,--,--,1357.742,1.8023,0,0,0,0,0
2002/4/10,--,--,--,1366.716,0.661,0,0,0,0,0
2002/4/11,--,--,--,1344.734,-1.6084,0,0,0,0,0
2002/4/12,--,--,--,1350.689,0.4428,0,0,0,0,0
2002/4/15,--,--,--,1344.581,-0.4522,0,0,0,0,0
2002/4/16,--,--,--,1341.502,-0.229,0,0,0,0,0
2002/4/17,--,--,--,1341.766,0.0197,0,0,0,0,0
2002/4/18,--,--,--,1326.546,-1.1343,0,0,0,0,0
2002/4/19,--,--,--,1330.642,0.3088,0,0,0,0,0
2002/4/22,--,--,--,1324.867,-0.434,0,0,0,0,0
2002/4/23,--,--,--,1318.661,-0.4684,0,0,0,0,0
2002/4/24,--,--,--,1309.727,-0.6775,0,0,0,0,0
2002/4/25,--,--,--,1312.483,0.2104,0,0,0,0,0
2002/4/26,--,--,--,1331.714,1.4652,0,0,0,0,0
2002/4/29,--,--,--,1349.785,1.357,0,0,0,0,0
2002/4/30,--,--,--,1353.607,0.2832,0,0,0,0,0
2002/5/8,--,--,--,1342.292,-0.8359,0,0,0,0,0
2002/5/9,--,--,--,1344.783,0.1856,0,0,0,0,0
2002/5/10,--,--,--,1335.451,-0.6939,0,0,0,0,0
2002/5/13,--,--,--,1319.814,-1.1709,0,0,0,0,0
2002/5/14,--,--,--,1311.68,-0.6163,0,0,0,0,0
2002/5/15,--,--,--,1300.119,-0.8814,0,0,0,0,0
2002/5/16,--,--,--,1261.522,-2.9687,0,0,0,0,0
2002/5/17,--,--,--,1277.235,1.2456,0,0,0,0,0
2002/5/20,--,--,--,1258.829,-1.4411,0,0,0,0,0
2002/5/21,--,--,--,1298.878,3.1814,0,0,0,0,0
2002/5/22,--,--,--,1280.16,-1.4411,0,0,0,0,0
2002/5/23,--,--,--,1284.836,0.3653,0,0,0,0,0
2002/5/24,--,--,--,1265.966,-1.4687,0,0,0,0,0
2002/5/27,--,--,--,1270.336,0.3452,0,0,0,0,0
2002/5/28,--,--,--,1270.382,0.0036,0,0,0,0,0
2002/5/29,--,--,--,1246.019,-1.9178,0,0,0,0,0
2002/5/30,--,--,--,1245.886,-0.0107,0,0,0,0,0
2002/5/31,--,--,--,1238.577,-0.5867,0,0,0,0,0
2002/6/3,--,--,--,1213.388,-2.0337,0,0,0,0,0
2002/6/4,--,--,--,1219.523,0.5056,0,0,0,0,0
2002/6/5,--,--,--,1196.623,-1.8778,0,0,0,0,0
2002/6/6,--,--,--,1245.613,4.094,0,0,0,0,0
2002/6/7,--,--,--,1252.514,0.554,0,0,0,0,0
2002/6/10,--,--,--,1243.743,-0.7003,0,0,0,0,0
2002/6/11,--,--,--,1252.851,0.7323,0,0,0,0,0
2002/6/12,--,--,--,1246.843,-0.4795,0,0,0,0,0
2002/6/13,--,--,--,1235.572,-0.904,0,0,0,0,0
2002/6/14,--,--,--,1222.119,-1.0888,0,0,0,0,0
2002/6/17,--,--,--,1224.654,0.2074,0,0,0,0,0
2002/6/18,--,--,--,1248.837,1.9747,0,0,0,0,0
2002/6/19,--,--,--,1236.049,-1.024,0,0,0,0,0
2002/6/20,--,--,--,1245.081,0.7307,0,0,0,0,0
2002/6/21,--,--,--,1288.522,3.489,0,0,0,0,0
2002/6/24,--,--,--,1409.505,9.3893,0,0,0,0,0
2002/6/25,--,--,--,1409.226,-0.0198,0,0,0,0,0
2002/6/26,--,--,--,1417.307,0.5734,0,0,0,0,0
2002/6/27,--,--,--,1422.512,0.3672,0,0,0,0,0
2002/6/28,--,--,--,1431.175,0.609,0,0,0,0,0
2002/7/1,--,--,--,1415.33,-1.1071,0,0,0,0,0
2002/7/2,--,--,--,1425.814,0.7407,0,0,0,0,0
2002/7/3,--,--,--,1427.39,0.1105,0,0,0,0,0
2002/7/4,--,--,--,1412.617,-1.035,0,0,0,0,0
2002/7/5,--,--,--,1415.403,0.1972,0,0,0,0,0
2002/7/8,--,--,--,1423.696,0.5859,0,0,0,0,0
2002/7/9,--,--,--,1419.471,-0.2968,0,0,0,0,0
2002/7/10,--,--,--,1392.901,-1.8718,0,0,0,0,0
2002/7/11,--,--,--,1390.929,-0.1416,0,0,0,0,0
2002/7/12,--,--,--,1389.45,-0.1063,0,0,0,0,0
2002/7/15,--,--,--,1379.38,-0.7247,0,0,0,0,0
2002/7/16,--,--,--,1382.412,0.2198,0,0,0,0,0
2002/7/17,--,--,--,1393.022,0.7675,0,0,0,0,0
2002/7/18,--,--,--,1397.411,0.3151,0,0,0,0,0
2002/7/19,--,--,--,1403.253,0.4181,0,0,0,0,0
2002/7/22,--,--,--,1380.282,-1.637,0,0,0,0,0
2002/7/23,--,--,--,1375.613,-0.3383,0,0,0,0,0
2002/7/24,--,--,--,1372.892,-0.1978,0,0,0,0,0
2002/7/25,--,--,--,1364.996,-0.5751,0,0,0,0,0
2002/7/26,--,--,--,1361.409,-0.2628,0,0,0,0,0
2002/7/29,--,--,--,1368.797,0.5427,0,0,0,0,0
2002/7/30,--,--,--,1371.909,0.2274,0,0,0,0,0
2002/7/31,--,--,--,1358.16,-1.0022,0,0,0,0,0
2002/8/1,--,--,--,1355.303,-0.2104,0,0,0,0,0
2002/8/2,--,--,--,1359.993,0.346,0,0,0,0,0
2002/8/5,--,--,--,1353.479,-0.479,0,0,0,0,0
2002/8/6,--,--,--,1368.994,1.1463,0,0,0,0,0
2002/8/7,--,--,--,1366.795,-0.1606,0,0,0,0,0
2002/8/8,--,--,--,1359.677,-0.5208,0,0,0,0,0
2002/8/9,--,--,--,1350.311,-0.6888,0,0,0,0,0
2002/8/12,--,--,--,1340.216,-0.7476,0,0,0,0,0
2002/8/13,--,--,--,1342.357,0.1598,0,0,0,0,0
2002/8/14,--,--,--,1351.507,0.6816,0,0,0,0,0
2002/8/15,--,--,--,1340.968,-0.7798,0,0,0,0,0
2002/8/16,--,--,--,1349.622,0.6454,0,0,0,0,0
2002/8/19,--,--,--,1347.16,-0.1824,0,0,0,0,0
2002/8/20,--,--,--,1370.046,1.6988,0,0,0,0,0
2002/8/21,--,--,--,1370.957,0.0665,0,0,0,0,0
2002/8/22,--,--,--,1381.549,0.7726,0,0,0,0,0
2002/8/23,--,--,--,1379.419,-0.1542,0,0,0,0,0
2002/8/26,--,--,--,1366.181,-0.9597,0,0,0,0,0
2002/8/27,--,--,--,1369.76,0.262,0,0,0,0,0
2002/8/28,--,--,--,1368.397,-0.0995,0,0,0,0,0
2002/8/29,--,--,--,1362.67,-0.4185,0,0,0,0,0
2002/8/30,--,--,--,1361.298,-0.1007,0,0,0,0,0
2002/9/2,--,--,--,1362.152,0.0627,0,0,0,0,0
2002/9/3,--,--,--,1366.71,0.3346,0,0,0,0,0
2002/9/4,--,--,--,1358.78,-0.5802,0,0,0,0,0
2002/9/5,--,--,--,1341.468,-1.2741,0,0,0,0,0
2002/9/6,--,--,--,1334.343,-0.5311,0,0,0,0,0
2002/9/9,--,--,--,1323.132,-0.8402,0,0,0,0,0
2002/9/10,--,--,--,1324.21,0.0815,0,0,0,0,0
2002/9/11,--,--,--,1319.034,-0.3909,0,0,0,0,0
2002/9/12,--,--,--,1322.232,0.2425,0,0,0,0,0
2002/9/13,--,--,--,1321.809,-0.032,0,0,0,0,0
2002/9/16,--,--,--,1302.617,-1.4519,0,0,0,0,0
2002/9/17,--,--,--,1304.376,0.135,0,0,0,0,0
2002/9/18,--,--,--,1295.561,-0.6758,0,0,0,0,0
2002/9/19,--,--,--,1319.817,1.8722,0,0,0,0,0
2002/9/20,--,--,--,1305.747,-1.0661,0,0,0,0,0
2002/9/23,--,--,--,1304.924,-0.063,0,0,0,0,0
2002/9/24,--,--,--,1299.185,-0.4398,0,0,0,0,0
2002/9/25,--,--,--,1299.523,0.026,0,0,0,0,0
2002/9/26,--,--,--,1291.378,-0.6268,0,0,0,0,0
2002/9/27,--,--,--,1285.652,-0.4434,0,0,0,0,0
2002/10/8,--,--,--,1272.939,-0.9888,0,0,0,0,0
2002/10/9,--,--,--,1247.533,-1.9959,0,0,0,0,0
2002/10/10,--,--,--,1241.552,-0.4794,0,0,0,0,0
2002/10/11,--,--,--,1237.14,-0.3554,0,0,0,0,0
2002/10/14,--,--,--,1243.744,0.5338,0,0,0,0,0
2002/10/15,--,--,--,1238.967,-0.3841,0,0,0,0,0
2002/10/16,--,--,--,1247.72,0.7065,0,0,0,0,0
2002/10/17,--,--,--,1228.263,-1.5594,0,0,0,0,0
2002/10/18,--,--,--,1233.668,0.4401,0,0,0,0,0
2002/10/21,--,--,--,1237.362,0.2994,0,0,0,0,0
2002/10/22,--,--,--,1254.739,1.4044,0,0,0,0,0
2002/10/23,--,--,--,1255.635,0.0714,0,0,0,0,0
2002/10/24,--,--,--,1244.559,-0.8821,0,0,0,0,0
2002/10/25,--,--,--,1233.578,-0.8823,0,0,0,0,0
2002/10/28,--,--,--,1219.425,-1.1473,0,0,0,0,0
2002/10/29,--,--,--,1226.775,0.6027,0,0,0,0,0
2002/10/30,--,--,--,1225.94,-0.0681,0,0,0,0,0
2002/10/31,--,--,--,1225.338,-0.0491,0,0,0,0,0
2002/11/1,--,--,--,1227.849,0.2049,0,0,0,0,0
2002/11/4,--,--,--,1246.804,1.5438,0,0,0,0,0
2002/11/5,--,--,--,1265.73,1.518,0,0,0,0,0
2002/11/6,--,--,--,1260.054,-0.4484,0,0,0,0,0
2002/11/7,--,--,--,1259.87,-0.0146,0,0,0,0,0
2002/11/8,--,--,--,1232.945,-2.1371,0,0,0,0,0
2002/11/11,--,--,--,1218.356,-1.1833,0,0,0,0,0
2002/11/12,--,--,--,1200.92,-1.4311,0,0,0,0,0
2002/11/13,--,--,--,1206.419,0.4579,0,0,0,0,0
2002/11/14,--,--,--,1183.635,-1.8886,0,0,0,0,0
2002/11/15,--,--,--,1186.923,0.2778,0,0,0,0,0
2002/11/18,--,--,--,1174.825,-1.0193,0,0,0,0,0
2002/11/19,--,--,--,1182.636,0.6649,0,0,0,0,0
2002/11/20,--,--,--,1154.898,-2.3454,0,0,0,0,0
2002/11/21,--,--,--,1125.38,-2.5559,0,0,0,0,0
2002/11/22,--,--,--,1128.072,0.2392,0,0,0,0,0
2002/11/25,--,--,--,1133.17,0.4519,0,0,0,0,0
2002/11/26,--,--,--,1111.053,-1.9518,0,0,0,0,0
2002/11/27,--,--,--,1118.964,0.712,0,0,0,0,0
2002/11/28,--,--,--,1150.585,2.8259,0,0,0,0,0
2002/11/29,--,--,--,1164.618,1.2196,0,0,0,0,0
2002/12/2,--,--,--,1132.929,-2.721,0,0,0,0,0
2002/12/3,--,--,--,1144.629,1.0327,0,0,0,0,0
2002/12/4,--,--,--,1147.535,0.2539,0,0,0,0,0
2002/12/5,--,--,--,1139.751,-0.6783,0,0,0,0,0
2002/12/6,--,--,--,1139.803,0.0046,0,0,0,0,0
2002/12/9,--,--,--,1136.246,-0.3121,0,0,0,0,0
2002/12/10,--,--,--,1122.907,-1.174,0,0,0,0,0
2002/12/11,--,--,--,1117.437,-0.4871,0,0,0,0,0
2002/12/12,--,--,--,1122.229,0.4288,0,0,0,0,0
2002/12/13,--,--,--,1132.079,0.8777,0,0,0,0,0
2002/12/16,--,--,--,1141.523,0.8342,0,0,0,0,0
2002/12/17,--,--,--,1148.599,0.6199,0,0,0,0,0
2002/12/18,--,--,--,1143.941,-0.4055,0,0,0,0,0
2002/12/19,--,--,--,1145.069,0.0986,0,0,0,0,0
2002/12/20,--,--,--,1157.337,1.0714,0,0,0,0,0
2002/12/23,--,--,--,1159.43,0.1808,0,0,0,0,0
2002/12/24,--,--,--,1159.06,-0.0319,0,0,0,0,0
2002/12/25,--,--,--,1151.16,-0.6816,0,0,0,0,0
2002/12/26,--,--,--,1119.359,-2.7625,0,0,0,0,0
2002/12/27,--,--,--,1120.276,0.0819,0,0,0,0,0
2002/12/30,--,--,--,1108.94,-1.0119,0,0,0,0,0
2002/12/31,--,--,--,1103.641,-0.4778,0,0,0,0,0
2003/1/2,--,--,--,1074.984,-2.5966,0,0,0,0,0
2003/1/3,--,--,--,1073.524,-0.1358,0,0,0,0,0
2003/1/6,--,--,--,1084.884,1.0582,0,0,0,0,0
2003/1/7,--,--,--,1081.622,-0.3007,0,0,0,0,0
2003/1/8,--,--,--,1111.832,2.793,0,0,0,0,0
2003/1/9,--,--,--,1132.17,1.8292,0,0,0,0,0
2003/1/10,--,--,--,1121.576,-0.9357,0,0,0,0,0
2003/1/13,--,--,--,1124.33,0.2455,0,0,0,0,0
2003/1/14,--,--,--,1185.865,5.473,0,0,0,0,0
2003/1/15,--,--,--,1177.971,-0.6657,0,0,0,0,0
2003/1/16,--,--,--,1196.386,1.5633,0,0,0,0,0
2003/1/17,--,--,--,1190.895,-0.459,0,0,0,0,0
2003/1/20,--,--,--,1194.722,0.3214,0,0,0,0,0
2003/1/21,--,--,--,1172.131,-1.8909,0,0,0,0,0
