date,open,high,low,close,zchange,zturnover,zPE,zPB,zPS,zPC
1996/8/28,0.2412,0.2412,0.2129,0.2223,--,29.6053,32.1683,3.0013,1.2786,--
1996/8/29,0.2223,0.2465,0.2202,0.2444,9.9291,31.532,35.3623,3.2993,1.4056,--
1996/8/30,0.2444,0.251,0.2373,0.247,1.0753,22.8727,35.7426,3.3348,1.4207,--
1996/9/2,0.2518,0.272,0.2473,0.2646,7.1277,30.7757,38.2902,3.5725,1.522,--
1996/9/3,0.2628,0.2851,0.2497,0.2694,1.7875,26.085,38.9746,3.6364,1.5492,--
1996/9/4,0.2694,0.2822,0.2628,0.2681,-0.4878,23.2243,38.7845,3.6186,1.5416,--
1996/9/5,0.2707,0.2759,0.2444,0.2452,-8.5294,13.7587,35.4764,3.31,1.4101,--
1996/9/6,0.2444,0.2549,0.237,0.2457,0.2144,8.3863,35.5525,3.3171,1.4132,--
1996/9/9,0.2457,0.2483,0.2407,0.2439,-0.7487,3.455,35.2863,3.2922,1.4026,--
1996/9/10,0.2365,0.2418,0.2247,0.2284,-6.3578,6.8627,33.0429,3.0829,1.3134,--
1996/9/11,0.2286,0.2339,0.2155,0.2268,-0.6904,5.0237,32.8147,3.0616,1.3043,--
1996/9/12,0.2263,0.2273,0.2121,0.2142,-5.562,4.2987,30.9896,2.8914,1.2318,--
1996/9/13,0.2118,0.2181,0.205,0.2181,1.8405,4.5683,31.5599,2.9446,1.2545,--
1996/9/16,0.2221,0.2221,0.2123,0.2207,1.2048,4.021,31.9402,2.98,1.2696,--
1996/9/17,0.2221,0.2286,0.216,0.2257,2.2619,5.896,32.6626,3.0475,1.2983,--
1996/9/18,0.2255,0.2255,0.2066,0.2089,-7.4505,5.9577,30.2291,2.8204,1.2016,--
1996/9/19,0.2073,0.211,0.2003,0.2089,0,4.0977,30.2291,2.8204,1.2016,--
1996/9/20,0.2102,0.2155,0.2076,0.2147,2.7673,3.4513,31.0656,2.8984,1.2348,--
1996/9/23,0.2181,0.2213,0.2152,0.216,0.612,4.4723,31.2557,2.9162,1.2424,--
1996/9/24,0.2181,0.2223,0.2155,0.2221,2.7981,4.9893,32.1303,2.9978,1.2771,--
1996/9/25,0.2234,0.2255,0.2102,0.216,-2.7219,4.6263,31.2557,2.9162,1.2424,--
1996/9/26,0.2102,0.2221,0.2102,0.2171,0.4866,2.8363,31.4078,2.9304,1.2484,--
1996/9/27,0.2194,0.2313,0.2181,0.2281,5.0847,10.399,33.0049,3.0794,1.3119,--
1996/10/3,0.2313,0.2444,0.2286,0.231,1.2673,7.549,33.4231,3.1184,1.3285,--
1996/10/4,0.2286,0.2313,0.2234,0.2286,-1.0239,3.7947,33.0809,3.0865,1.3149,--
1996/10/7,0.2281,0.2365,0.2273,0.2355,2.9885,6.6073,34.0695,3.1787,1.3542,--
1996/10/8,0.2365,0.2389,0.2313,0.2365,0.4464,6.521,34.2216,3.1929,1.3603,--
1996/10/9,0.2378,0.2402,0.2242,0.2281,-3.5556,5.6313,33.0049,3.0794,1.3119,--
1996/10/10,0.2265,0.2334,0.2242,0.2323,1.8433,6.121,33.6132,3.1361,1.3361,--
1996/10/11,0.2365,0.2365,0.2286,0.2339,0.6787,5.9637,33.8414,3.1574,1.3451,--
1996/10/14,0.2339,0.2497,0.2299,0.2455,4.9438,12.9443,35.5144,3.3135,1.4116,--
1996/10/15,0.2455,0.2575,0.2386,0.2541,3.5332,13.1443,36.7692,3.4306,1.4615,--
1996/10/16,0.2596,0.2809,0.2575,0.2686,5.6877,24.2983,38.8606,3.6257,1.5446,--
